"measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_group_id","age_group_name","cause_id","cause_name","year_id","metric_id","metric_name","infectious_syndrome","pathogen","val","upper","lower","n_ab"
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bacterial infections of the skin and subcutaneous systems","Acinetobacter baumannii",5.02314699978037,24.1331034664136,0.210489502679197,8
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bacterial infections of the skin and subcutaneous systems","Enterobacter spp.",3.89813578174896,12.3446890566442,0.708831116789071,7
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bacterial infections of the skin and subcutaneous systems","Enterococcus faecalis",3.50485550102009,15.9068760996942,0.271847223361601,3
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bacterial infections of the skin and subcutaneous systems","Escherichia coli",10.5175954396402,30.5385340092394,2.3833834250782,8
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bacterial infections of the skin and subcutaneous systems","Group A Streptococcus",55.0547659040961,96.4580430298056,27.9024504110648,2
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bacterial infections of the skin and subcutaneous systems","Group B Streptococcus",9.91153032429232,34.5758901086435,1.63760194466644,4
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bacterial infections of the skin and subcutaneous systems","Klebsiella pneumoniae",3.31451466297552,13.2823183010258,0.351862125527482,7
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bacterial infections of the skin and subcutaneous systems","Other enterococci",5.24565397440939,18.963945432499,0.871892537121391,3
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bacterial infections of the skin and subcutaneous systems","Proteus spp.",4.68506983129479,14.6194457731639,1.01131477185257,6
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bacterial infections of the skin and subcutaneous systems","Pseudomonas aeruginosa",8.09685931164115,24.6154887905254,1.55438970387265,7
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bacterial infections of the skin and subcutaneous systems","Staphylococcus aureus",76.9020339787314,130.540800921781,36.770834983818,6
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Acinetobacter baumannii",910.498137105051,1424.92971766462,508.656311853762,8
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Citrobacter spp.",444.827521959404,768.125342864255,236.034515727677,7
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Enterobacter spp.",668.295706461948,1041.44205429841,392.711210916726,7
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Enterococcus faecalis",141.798689684264,211.971202767525,90.1148326714503,3
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Enterococcus faecium",153.948101014461,237.058748521481,94.7203100499055,3
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Escherichia coli",254.865156850499,384.034645165128,161.914441546955,8
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Group A Streptococcus",894.789141790647,1352.78054093575,559.258397078004,2
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Group B Streptococcus",412.150390036692,626.263660302268,259.738215188906,4
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Klebsiella pneumoniae",1094.88991440855,1652.61419689705,697.620639910158,7
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Neisseria meningitidis",2211.87140614178,3286.52136397349,1383.39975699726,0
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Non-typhoidal Salmonella",648.897784861176,985.124798189379,399.100895237579,2
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Other enterococci",217.725847934473,380.704041963487,114.938379802736,3
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Proteus spp.",65.2900517300438,106.376295287822,38.7369633837664,6
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Pseudomonas aeruginosa",418.535145653677,622.264061863859,259.971841460031,7
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Salmonella Typhi",301.420378953237,491.655836193027,165.336440002415,3
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Serratia spp.",259.801915751456,406.791215566585,159.276371730142,7
1,"Deaths",4,"Southeast Asia, East Asia, and Oceania",3,"All",4,"Post Neonatal",294,"All causes",2019,1,"Number","Bloodstream infections","Staphylococcus aureus",745.644291142323,1122.63530413642,464.712438246577,6
