,country,study,doi,subregion,start_year,end_year,class_consumed,ab_consumed,amt_consumed,percent_isolates_resistant,notes,pathogen,ab_for_resistance,class_for_resistance,ab_setting,pathogen_setting,units,Region,income_group
28,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,2,DDD/1000 inhabitants/day,E. coli,Nalidixic Acid,Nalidixic Acid,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
29,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",3,0,DDD/1000 inhabitants/day,E. coli,Gentamicin,Aminoglycosides,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
30,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Sulfonamide and Trimethoprim,Sulfonamide and Trimethoprim,1,2,DDD/1000 inhabitants/day,E. coli,Nalidixic Acid,Nalidixic Acid,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
31,Austria,Antimicrobial drug use and resistance in Europe,10.3201/eid1411.070467,Austria,2004,2004,"Macrolides, Lincosamides and Streptogramins","Macrolides, Lincosamides and Streptogramins",3,19,"DDD/1000 inhabitants/ day, DDD in 2004, resistance in 2005",E. coli,Fluoroquinolones,Quinolones,hospital + community,Community + Hospital,DDD/1000 inhabitants/day,Europe & Central Asia,High income
32,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",3,1,DDD/1000 inhabitants/day,E. coli,Mecillinam,Mecillinam,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
33,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Quinolones,Quinolones,1,0,DDD/1000 inhabitants/day,E. coli,Gentamicin,Aminoglycosides,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
34,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,0,DDD/1000 inhabitants/day,E. coli,Fosfomycin,J01XX Other antibacterials,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
35,Austria, Antibiotic selection pressure and resistance in Streptococcus pneumoniae and Streptococcus pyogenes,https://doi.org/10.3201/eid1003.030252,Austria,1994,2000,"Macrolides, Lincosamides and Streptogramins",Macrolide,3,3,DDD/1000 inhabitants/day,S. pyogenes,Macrolides,"Macrolides, Lincosamides and Streptogramins",community,community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
36,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Quinolones,Quinolones,1,2,DDD/1000 inhabitants/day,E. coli,Co-Amoxiclav,"Beta lactam antibacterials, penicillins",community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
37,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Sulfonamide and Trimethoprim,Sulfonamide and Trimethoprim,1,25,DDD/1000 inhabitants/day,E. coli,Sulfamethoxaole,Sulfamethoxaole,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
38,Austria,Antimicrobial drug use and resistance in Europe,10.3201/eid1411.070467,Austria,2004,2004,"Macrolides, Lincosamides and Streptogramins","Macrolides, Lincosamides and Streptogramins",3,14,"DDD/1000 inhabitants/ day, DDD in 2004, resistance in 2005",S. pneumoniae,Erythromycin,"Macrolides, Lincosamides and Streptogramins",hospital + community,Community + Hospital,DDD/1000 inhabitants/day,Europe & Central Asia,High income
39,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",3,2,DDD/1000 inhabitants/day,E. coli,Nalidixic Acid,Nalidixic Acid,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
40,Austria,Antibiotic exposure and other risk factors for antimicrobial resistance in nasal commensal Staphylococcus aureus: An ecological study in 8 European countries,https://doi.org/10.1371/journal.pone.0135094,Austria,2010,2011,"Macrolides, Lincosamides and Streptogramins","Macrolides, Lincosamides and Streptogramins",NA,13,Only relaying %resistance no ddd/patient/pop or any dosing per country ,S. aureus,NA,"Macrolides, Lincosamides and Streptogramins",hospital,Community,NA,Europe & Central Asia,High income
41,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",3,0,DDD/1000 inhabitants/day,E. coli,Nitrofurantoin,Nitrofuran derivatives,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
42,Austria,Antimicrobial drug use and resistance in Europe,10.3201/eid1411.070467,Austria,2004,2004,"Beta lactam antibacterials, penicillins",non-Penicillin (largely Cephaosporins),1,5,"DDD/1000 inhabitants/ day, DDD in 2004, resistance in 2005",S. pneumoniae,Penicillin,"Beta lactam antibacterials, penicillins",hospital + community,Community + Hospital,DDD/1000 inhabitants/day,Europe & Central Asia,High income
43,Austria,"Positive Association between the Use of Quinolones in Food Animals and the Prevalence of Fluoroquinolone Resistance in E. coli and K. pneumoniae, A. baumannii and P. aeruginosa: A Global Ecological Analysis",https://doi.org/10.3390/antibiotics10101193,Austria,2017,2017,Quinolones,Quinolones,1,16,DDD/1000/inhabs/day -- converted from DDD/1000 inhabitants/year,K. pneumoniae,Fluoroquinolone,Quinolones,community,community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
44,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,0,DDD/1000 inhabitants/day,E. coli,Nitrofurantoin,Nitrofuran derivatives,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
45,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Sulfonamide and Trimethoprim,Sulfonamide and Trimethoprim,1,0,DDD/1000 inhabitants/day,E. coli,Nitrofurantoin,Nitrofuran derivatives,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
