,country,study,doi,subregion,start_year,end_year,class_consumed,ab_consumed,amt_consumed,percent_isolates_resistant,notes,pathogen,ab_for_resistance,class_for_resistance,ab_setting,pathogen_setting,units,Region,income_group
72,Austria,The use and resistance to antibiotics in the community,10.1016/s0924-8579(02)00394-1,Austria,1997,1998,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",3,12,"DDD/1000 inhabitants/day, resistance in 1997-1999",S. pneumoniae,Penicillin,"Beta lactam antibacterials, penicillins",community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
73,Austria,Antimicrobial drug use and resistance in Europe,10.3201/eid1411.070467,Austria,2004,2004,Fluoroquinolones,Fluoroquinolones,1,19,"DDD/1000 inhabitants/ day, DDD in 2004, resistance in 2005",E. coli,Fluoroquinolones,Quinolones,hospital + community,Community + Hospital,DDD/1000 inhabitants/day,Europe & Central Asia,High income
74,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Quinolones,Quinolones,1,25,DDD/1000 inhabitants/day,E. coli,Sulfamethoxaole,Sulfamethoxaole,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
75,Austria,The use and resistance to antibiotics in the community,10.1016/s0924-8579(02)00394-1,Austria,1998,1998,NA,total abx,13,3,"DDD/1000 inhabitants/day, resistance in 1997-1999",H. influenzae,Beta-lactam antibiotics,"Beta lactam antibacterials, penicillins",community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
76,Austria,Antibiotic exposure and other risk factors for antimicrobial resistance in nasal commensal Staphylococcus aureus: An ecological study in 8 European countries,https://doi.org/10.1371/journal.pone.0135094,Austria,2010,2011,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",NA,64,Only relaying %resistance no ddd/patient/pop or any dosing per country ,S. aureus,NA,"Beta lactam antibacterials, penicillins",hospital,Community,NA,Europe & Central Asia,High income
77,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Quinolones,Quinolones,1,2,DDD/1000 inhabitants/day,E. coli,Nalidixic Acid,Nalidixic Acid,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
78,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",3,25,DDD/1000 inhabitants/day,E. coli,Sulfamethoxaole,Sulfamethoxaole,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
79,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",3,9,DDD/1000 inhabitants/day,E. coli,Trimethoprim-Sulfamethoxazole,Sulfonamide and Trimethoprim,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
80,Austria,Antibiotic exposure and other risk factors for antimicrobial resistance in nasal commensal Staphylococcus aureus: An ecological study in 8 European countries,https://doi.org/10.1371/journal.pone.0135094,Austria,2010,2011,Glycopeptides,Glycopeptides,NA,0,Only relaying %resistance no ddd/patient/pop or any dosing per country ,S. aureus,NA,Glycopeptides,hospital,Community,NA,Europe & Central Asia,High income
81,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Quinolones,Quinolones,1,1,DDD/1000 inhabitants/day,E. coli,Mecillinam,Mecillinam,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
82,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,0,DDD/1000 inhabitants/day,E. coli,Cefadroxil,Cephalosporin (undefined and 1st/2nd gen),community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
83,Austria,"Positive Association between the Use of Quinolones in Food Animals and the Prevalence of Fluoroquinolone Resistance in E. coli and K. pneumoniae, A. baumannii and P. aeruginosa: A Global Ecological Analysis",https://doi.org/10.3390/antibiotics10101193,Austria,2017,2017,Quinolones,Quinolones,1,12,DDD/1000/inhabs/day -- converted from DDD/1000 inhabitants/year,P. aeruginosa,Fluoroquinolone,Quinolones,community,community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
84,Austria,Antimicrobial drug use and resistance in Europe,10.3201/eid1411.070467,Austria,2004,2004,Fluoroquinolones,Fluoroquinolones,1,14,"DDD/1000 inhabitants/ day, DDD in 2004, resistance in 2005",S. pneumoniae,Erythromycin,"Macrolides, Lincosamides and Streptogramins",hospital + community,Community + Hospital,DDD/1000 inhabitants/day,Europe & Central Asia,High income
85,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,9,DDD/1000 inhabitants/day,E. coli,Trimethoprim-Sulfamethoxazole,Sulfonamide and Trimethoprim,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
86,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,0,DDD/1000 inhabitants/day,E. coli,Ciprofloxacin,Quinolones,community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
87,Austria,Antimicrobial drug use and resistance in Europe,10.3201/eid1411.070467,Austria,2004,2004,"Beta lactam antibacterials, penicillins",non-Penicillin (largely Cephaosporins),1,19,"DDD/1000 inhabitants/ day, DDD in 2004, resistance in 2005",E. coli,Fluoroquinolones,Quinolones,hospital + community,Community + Hospital,DDD/1000 inhabitants/day,Europe & Central Asia,High income
88,Austria,Non-Hospital antimicrobial use and resistance in community-acquired Escherichia coli urinary tract infection,10.1093/jac/dkg488,Austria,2000,2000,Quinolones,Quinolones,1,0,DDD/1000 inhabitants/day,E. coli,Cefadroxil,Cephalosporin (undefined and 1st/2nd gen),community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
89,Austria,"Positive Association between the Use of Quinolones in Food Animals and the Prevalence of Fluoroquinolone Resistance in E. coli and K. pneumoniae, A. baumannii and P. aeruginosa: A Global Ecological Analysis",https://doi.org/10.3390/antibiotics10101193,Austria,2017,2017,Quinolones,Quinolones,1,22,DDD/1000/inhabs/day -- converted from DDD/1000 inhabitants/year,E. coli,Fluoroquinolone,Quinolones,community,community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
90,Austria,Antibiotic exposure and other risk factors for antimicrobial resistance in nasal commensal Staphylococcus aureus: An ecological study in 8 European countries,https://doi.org/10.1371/journal.pone.0135094,Austria,2010,2011,"Beta lactam antibacterials, penicillins","Beta lactam antibacterials, penicillins",NA,1,Only relaying %resistance no ddd/patient/pop or any dosing per country ,S. aureus,NA,"Beta lactam antibacterials, penicillins",hospital,Community,NA,Europe & Central Asia,High income
91,Austria,The use and resistance to antibiotics in the community,10.1016/s0924-8579(02)00394-1,Austria,1997,1998,Cephalosporin (undefined and 1st/2nd gen),Cephalosporin (undefined and 1st/2nd gen),1,12,"DDD/1000 inhabitants/day, resistance in 1997-1999",S. pneumoniae,Penicillin,"Beta lactam antibacterials, penicillins",community,Community,DDD/1000 inhabitants/day,Europe & Central Asia,High income
