"Consumption","Resistance","Pathogen","DOI","Antibiotic","Weight","ISO3","PC1","PC2","PC3","GDP","Year"
476,71,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
486,77,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
134,71,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
29,72,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
172,73,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
121,78,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
155,69,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
23,24,"P. aeruginosa","10.1016/j.ajic.2016.01.025","J01D",1,"KOR",0.614576032373016,-5.939757566807,1.67325857990702,35000.277,2008
560,69,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
550,77,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
23,63,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
460,72,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.959523691857287,-6.67111398694461,1.61028631379155,37298.59095,2010
70,11,"E. coli","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
144,74,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.425324610835645,-5.61537722953129,1.67209132999796,34235.53986,2007
145,63,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
538,73,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
536,69,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",-0.000767740262989847,-4.95828278867627,1.67334046435254,31058.98564,2005
569,77,"S. aureus","10.1016/j.ajic.2016.01.025","J01C",1,"KOR",0.217216602358663,-5.29657179391285,1.671260401734,32522.77317,2006
