"Pathogen","Antibiotic","Total.Isolates"
"Acinetobacter spp.","J01D",89
"E. coli","J01C",226
"E. coli","J01M",136
"Enterobacter spp.","J01D",60
"K. pneumoniae","J01D",67
"P. aeruginosa","J01C",38
"P. aeruginosa","J01D",393
"P. aeruginosa","J01G",49
"P. aeruginosa","J01M",52
"S. aureus","J01C",297
