"Pathogen","ATC.Class","Total.Isolates","Percent.Resistant.Isolates","Antibiotic.Consumption","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","GDP"
"Acinetobacter spp.","J01A",28163,27.440871771986,1.84427342256214,-0.839110122186981,-5.62195226139674,0.928508090897383,-0.66808650920269,-0.677501932934267,-0.0213480047778358,0.597247202455114,0.130844463931131,-0.0682975556735831,0.0032721195229528,37413.1931832012
"Acinetobacter spp.","J01C",27683,58.0398436693038,6.9765917721519,-0.812285422271955,-5.67871960490025,0.903109242034061,-0.713208291986039,-0.662343422810717,-0.0473406734344323,0.6200189883889,0.128280990278291,-0.0482517333418838,-0.00498804231064774,37055.3839369572
"Acinetobacter spp.","J01D",124284,70.4417898368517,2.84328739002933,-0.534997946476381,-6.26820047912715,0.867661932946246,-0.957755605538104,-0.564396597677153,0.0454973775188747,0.558630237586569,0.140927671756264,-0.0150734634076365,-0.0315024869731669,38150.0302642381
"Acinetobacter spp.","J01E",1887,59.6778431372549,0.539039215686274,-0.649566554166104,-6.26850005767335,0.759944191857323,-0.892392023941093,-0.632571999898299,-0.152890917725308,0.772732695035426,0.0173719960627458,-0.0357397597038741,0.13598036151709,38985.0856051224
"Acinetobacter spp.","J01G",105018,43.9578548392914,0.122137003841229,-0.601334353081627,-6.1123169861627,0.86688365869569,-0.894118178485987,-0.57945567154986,0.0496853553591961,0.517136438675595,0.134213008419166,-0.0449766036292118,0.000683108165429826,37459.0851148402
"Acinetobacter spp.","J01M",77893,50.80523769894,1.91547574123989,-0.525729811853152,-6.24881662123933,0.875497075942379,-1.03667693231445,-0.506481039578298,0.0730903379469369,0.493008535488363,0.154553673709647,-0.038127374940385,-0.0138247889603485,37749.8804403482
"E. coli","J01A",102846,8.54777454675325,1.86163506493507,-0.675908336823808,-5.99399314371787,0.894987876203375,-0.826425633138067,-0.591131251032063,-0.000578346767724984,0.554191687721408,0.126405351522269,-0.0280378300722426,-0.0101457672044449,37966.8693999526
"E. coli","J01C",86409,74.7466026483696,6.97511459968603,-0.790703716378378,-5.7235152236511,0.904607558053469,-0.722859210892901,-0.631481108516333,-0.0322317956468798,0.585801605562949,0.127261418171711,-0.043324300078671,-0.0025006029300268,37463.6915673235
"E. coli","J01D",11815059,22.463537119702,2.94049722362443,-0.10926073619307,-7.09439037677821,0.894434989452802,-1.21211849453526,-0.341560293623843,0.277271416162881,0.174744108816176,0.234944895380235,-0.0652806985003391,0.000322762308737561,42375.2586469431
"E. coli","J01E",649184,43.6643866533151,0.517129411764706,-0.917462736470552,-5.80604564877416,0.778516348318785,-0.118677983146543,-1.04240462729352,-0.239486038219705,0.746664606643516,-0.0406456788407727,-0.0996363083713352,0.140992179636713,40808.9600375556
"E. coli","J01F",5,40,2.3462,-3.20318488789026,-1.22095087434551,0.744458981767193,-0.0683951860443905,-1.40343400978449,-0.789411705907916,1.53181051134921,0.242300218150942,-0.413529137586352,0.717808192524543,18144.87454525
"E. coli","J01G",1574338,7.6391156074995,0.115027506654836,-0.119453175777501,-7.02068291276319,0.907476390416951,-1.25944363603025,-0.283635167839405,0.293154938664602,0.103895074289067,0.234724004553462,-0.0898528529478592,0.026192606975399,42327.9798170783
"E. coli","J01M",5431523,32.2421664862681,1.8852635193133,-0.186557621154386,-6.89625685386537,0.90298466162065,-1.17213449081213,-0.339527823102609,0.267715095945796,0.155705878503129,0.223882288048298,-0.0789995000322778,0.0258013401386097,41697.416104873
"E. faecalis","J01A",25971,26.566772046589,1.85672878535774,-0.80121199153113,-5.71825163071877,0.914564734455339,-0.704650744722813,-0.648355910320641,-0.0335884873457733,0.580017597204943,0.119973621472524,-0.0567925835857575,0.00933659749371045,37532.4131846378
"E. faecalis","J01C",29208,1.90929663013699,7.05341400304414,-0.726356117452211,-5.88304827098769,0.908936498728628,-0.771529494490042,-0.620646061509205,-0.0152249826186068,0.558851809071038,0.13097760587743,-0.0474220825959071,-0.0111857922221459,38074.5385184771
"E. faecalis","J01F",5494,71.8823908658537,2.85831707317073,-0.587678115984173,-6.27656114809611,0.833106609337024,-0.907933722125339,-0.60575585331292,-0.0580722553953123,0.7171140743616,0.0591188721452902,0.0707898931862641,-0.00334192271799697,37854.3377481667
"E. faecalis","J01G",166140,33.6379066975164,0.0968604651162791,0.910054952754105,-9.02562922931083,0.880439589830231,-2.07300764473877,0.193580084149379,0.775665118473353,-0.447155254712695,0.387257308354498,-0.0470693778593239,0.0532518818580907,47923.7546926578
"E. faecalis","J01M",25971,30.5638103161398,1.82429783693844,-0.80121199153113,-5.71825163071877,0.914564734455339,-0.704650744722813,-0.648355910320641,-0.0335884873457733,0.580017597204943,0.119973621472524,-0.0567925835857575,0.00933659749371045,37532.4131846378
"E. faecium","J01A",12875,14.5508421052632,1.88152456140351,-0.692004904039639,-5.94242395971405,0.902632234639586,-0.763556735984419,-0.661887169379202,-0.0434650864875211,0.648477338270528,0.113572941168805,-0.0440879574617629,0.0161369176776976,38183.9304906801
"E. faecium","J01C",14556,90.4461232351047,7.16185507246377,-0.629292697479187,-6.08453251969549,0.896812052836855,-0.849306906626196,-0.615497872244447,-0.013344140977174,0.595100025512635,0.13110770411594,-0.0392222733726036,-0.00978155166023936,38613.3710248696
"E. faecium","J01F",3710,83.90605399375,2.8970875,-0.471086823965443,-6.52179418214855,0.826503319711903,-0.978019141516162,-0.597786375654239,-0.0400630317713558,0.72202323466213,0.0599277393013953,0.0679945111274613,0.0058824985230488,38321.3603385329
"E. faecium","J01G",66076,42.6736578654672,0.0859850746268657,0.990099012097922,-9.23377486916485,0.878300359160548,-2.19823034651581,0.246591668310866,0.752233213728176,-0.383127599133215,0.420111793783231,-0.000796197665353756,-0.0155900413684929,49200.4710661692
"E. faecium","J01M",12875,80.5202280701754,1.85662105263158,-0.692004904039639,-5.94242395971405,0.902632234639586,-0.763556735984419,-0.661887169379202,-0.0434650864875211,0.648477338270528,0.113572941168805,-0.0440879574617629,0.0161369176776976,38183.9304906801
"Enterococcus spp.","J01A",1117,12.6727054794521,2.09370205479452,-0.684531659772984,-6.14160153466532,0.866609831558623,-1.02961554533416,-0.737351682369739,-0.208465329821153,1.25017586705849,0.137061429188251,0.0650472035985198,-0.000796722182088255,38323.3805064444
"Enterococcus spp.","J01C",1168,33.378707173913,7.38695986622074,-0.646834795358958,-6.21152484307181,0.861903152467498,-1.05355030051191,-0.728738514743008,-0.201041856396087,1.22791734025633,0.146487477543659,0.060049628645427,-0.00194795190971695,38475.9675921958
"Enterococcus spp.","J01F",54,55.5394603142857,2.59988571428571,-1.20329192703692,-5.32136958109284,0.714625145721392,-0.605350743348953,-1.40330777169156,-0.740532990570654,1.47172589089417,0.312802289766901,-0.246528515828428,-0.0222427942969659,30529.7118850323
