"ISO3","Year","PC1","PC2","PC3","GDP"
"AFG",2001,-2.15257187887869,9.19206124262001,1.36846160195038,1454.110782
"AFG",2002,-6.99526844540528,6.5490263282773,1.53925600355324,1774.308743
"AFG",2003,-7.01753585290229,6.46894513706488,1.50243793509533,1815.9282
"AFG",2004,-7.02399848013517,6.51137471305202,1.50036238322432,1776.918207
"AFG",2005,-6.98985865869629,6.41336945713094,1.49448134326854,1908.114782
"AFG",2006,-7.008115234668,6.27259049351251,1.43526626345153,1929.723897
"AFG",2007,-7.17351173040466,6.30399351901395,1.18264619590221,2155.353068
"AFG",2008,-7.11374082306189,6.11888308721605,1.18406793462457,2191.504356
"AFG",2009,-7.15039809668157,5.96650663112318,0.963295209822778,2565.022086
"AFG",2010,-7.12856087328413,5.92170022083083,0.967191238425862,2848.586061
"AFG",2011,-7.08171261796254,5.7840967911146,0.96851985623101,2757.052587
"AFG",2012,-7.0629618177607,5.7503560102921,0.971684703878304,2985.319145
"AFG",2013,-7.03383504591403,5.68103792855048,0.973135472746153,3046.579931
"AFG",2014,-6.99952490226343,5.5850277132589,0.974139040901418,3017.942544
"AFG",2015,-6.99361823426311,5.58916015394404,0.97636254711316,2967.692067
"AFG",2016,-6.95493304212984,5.48955259776228,0.975664761571307,2958.785399
"AFG",2017,-6.92668393204187,5.41410857113903,0.972971322637355,2952.998916
"AFG",2018,-6.86185080491513,5.45891221185069,1.02567373907735,2902.392113
"AFG",2019,-6.80598811047541,5.49143488795055,1.05227740633662,2927.245144
"ALB",2001,-2.95175405047864,-1.24390419546709,1.25565961475357,7109.627581
"ALB",2002,-3.0120745749595,-2.03650810701522,1.09323707183288,7454.478313
"ALB",2003,-2.8587285640999,-2.32174663757902,1.10179970550164,7896.097378
"ALB",2004,-2.68929062518519,-2.61543066503768,1.09898176740405,8366.433914
"ALB",2005,-2.53592567063151,-2.90919062418468,1.10992246545075,8874.099288
"ALB",2006,-2.37711244026508,-3.21434080682085,1.11793730001633,9457.386999
"ALB",2007,-2.21479988842876,-3.5136493901848,1.12401575210044,10099.28151
"ALB",2008,-2.06313886374092,-3.79730107068359,1.13162192839149,10940.36062
"ALB",2009,-1.94322253971211,-4.07452723745383,0.96933606540032,11383.78874
"ALB",2010,-1.83804334329148,-4.45364212844801,0.916514846053691,11864.53568
"ALB",2011,-1.73698720368549,-4.66657038936648,0.919047629846609,12199.31045
"ALB",2012,-1.66212174690359,-4.84487184657979,0.914755686830257,12392.65401
"ALB",2013,-1.5787872357277,-5.02774925836823,0.900826539608547,12539.78386
"ALB",2014,-1.49353425453691,-5.21513572626403,0.883978312129701,12788.74723
"ALB",2015,-1.4042701941316,-5.42266621498857,0.861327635355195,13110.61788
"ALB",2016,-1.3070591674392,-5.6346830090638,0.83280501516381,13566.90583
"ALB",2017,-1.20759945254982,-5.85288398411229,0.801339203682162,14095.75905
"ALB",2018,-1.04222193621902,-6.09980661254624,0.725053722284141,14698.53762
"ALB",2019,-0.901266823938747,-6.35487546673478,0.678250693699122,15065.74957
"DZA",2001,-5.10129782888616,2.02093495299189,1.48794828803149,11742.59468
"DZA",2002,-4.96970044789863,1.75287614964339,1.48228255411055,12213.12635
"DZA",2003,-4.8392843211443,1.49174207728923,1.47678320872845,12835.18144
"DZA",2004,-4.85189669466705,1.17392245904324,1.21409331971432,13226.76505
"DZA",2005,-4.72297196614526,0.921982426295038,1.20615343713987,13738.49564
"DZA",2006,-4.59570836556458,0.683598629841618,1.1963573012594,13920.69406
