"","Gradient","R_squared","White_test_p_value","RMSE","AIC","BIC","Model_Singular","Bootstrap_Singular_Proportion","VIF.Consumption","VIF.PC1","VIF.PC2","VIF.PC3","VIF.GDP","VIF.Year"
"J01A",0.0213352951969468,0.999943540013817,2.07145749394653e-125,1.32278974753505,21873.4806080221,21939.8888655407,FALSE,0,1.19247294749149,9.19362761485876,10.0972353747132,1.34398915016059,1.91743696649473,1.11687443134344
"J01C",0.294279085277879,0.999915058019077,9.18368076257594e-50,1.16084608077583,27850.7638704647,27919.0238759195,FALSE,0,1.02114087120821,5.19469795300776,5.79764050571922,1.23282383858518,1.39814336610128,1.14197988384149
"J01D",0.234277017382212,0.998419399674013,1.30246653220877e-48,1.39196852679597,45734.118463674,45803.202705069,FALSE,0,1.02982829449135,27.5351828387253,27.5779868198093,2.27858666703019,1.4848498372007,1.05316760620653
"J01E",0.0880525315005416,0.419247046260722,0.0775264304299369,1.49087050649279,1897.55312801848,1930.37359677539,TRUE,0,1.82333448286886,17.7683808023577,23.2765878431253,1.90320683556051,3.18432006100117,1.06713410942263
"J01F",0.428434136477062,0.99992235711234,2.86649454047572e-19,1.17555692540293,7022.22728259044,7078.52703966072,FALSE,0,1.06377169967299,5.59566462420383,6.30233757224679,1.19929282327554,1.39917140167778,1.13423144983826
"J01G",0.223587152404045,0.999808260036331,1.24616688995237e-08,1.09692227215657,15065.5892330446,15129.9642372697,FALSE,0,1.00225299044348,4.7867173707583,5.26469705420563,1.21056029058701,1.27931582176349,1.16874772001355
"J01M",0.528248022853248,0.999916671223625,1.22664239852902e-34,0.979041004236975,30635.2699034456,30704.7453635959,FALSE,0,1.00268905405858,15.6735097302602,15.9579927882921,1.71469364606199,1.36098548568347,1.08593482013791
