"","Antibiotic","Gradient"
"1","J01A",0.128244804524773
"2","J01A",0.0150658682756569
"3","J01A",-0.0159441147671308
"4","J01A",0.245524229443269
"5","J01A",-0.0421441269049987
"6","J01A",0.0381971572747379
"7","J01A",0.201538177470096
"8","J01A",0.195957365525776
"9","J01A",0.144499405269498
"10","J01A",0.110217444276071
"11","J01A",0.329920366900313
"12","J01A",0.0354278661378792
"13","J01A",0.3057427937886
"14","J01A",0.0430657466466068
"15","J01A",0.142163035063757
"16","J01A",0.188499710720697
"17","J01A",0.128876177319924
"18","J01A",-0.0635881724171896
"19","J01A",0.108345442129125
"20","J01A",0.0793894411356073
"21","J01A",0.209608782641772
"22","J01A",0.180944179559383
"23","J01A",0.31876920944315
"24","J01A",0.0765271903956945
"25","J01A",0.0518740418109859
"26","J01A",0.0588971911254532
"27","J01A",0.213593638964054
"28","J01A",0.163439396078664
"29","J01A",0.0995038753126575
"30","J01A",0.124693872328811
"31","J01A",0.19001058292941
"32","J01A",0.0730177610486843
"33","J01A",0.0894338538507491
"34","J01A",0.187823378893949
"35","J01A",0.254044019157561
"36","J01A",0.215184194074691
"37","J01A",0.106773295190268
"38","J01A",0.0631042857838048
"39","J01A",0.238144368171832
"40","J01A",-0.0702199582951178
"41","J01A",0.270527992438355
"42","J01A",-0.0110205190375011
"43","J01A",0.0785108732545053
"44","J01A",0.318313990346364
"45","J01A",0.158435163881983
"46","J01A",0.0206191848829778
"47","J01A",0.119529976275415
"48","J01A",0.160848370729435
"49","J01A",0.145909513635941
"50","J01A",0.180712811221358
"51","J01A",0.233338141302051
"52","J01A",-0.0416780591740302
"53","J01A",0.0847540606166258
"54","J01A",0.227342670544757
"55","J01A",-0.0288707175303263
"56","J01A",0.0329649190528148
"57","J01A",0.0880637117154762
"58","J01A",0.296133582140686
"59","J01A",0.170086755425783
"60","J01A",0.0826191879965379
"61","J01A",0.0201552906611094
"62","J01A",0.172491609307643
"63","J01A",0.18226475088396
"64","J01A",0.147296075248547
"65","J01A",0.232098078744148
"66","J01A",0.401109520980098
"67","J01A",0.124264349293861
"68","J01A",-0.0400840667592956
"69","J01A",0.220132079549394
"70","J01A",0.18910985464146
"71","J01A",0.136917025274626
"72","J01A",0.157532054873578
"73","J01A",0.190558188253728
"74","J01A",0.22526861718622
"75","J01A",0.260900445786883
"76","J01A",-0.0344833620411418
"77","J01A",0.299086228501853
"78","J01A",0.236847042312848
"79","J01A",0.349864917778818
"80","J01A",-0.0706264862342031
"81","J01A",0.265988693663157
"82","J01A",0.0752397662930102
"83","J01A",0.320601756237636
"84","J01A",0.118844604773354
"85","J01A",0.249058630822574
"86","J01A",0.0950694438159987
"87","J01A",0.148211121418837
"88","J01A",0.285162798744706
"89","J01A",0.0548256739546
"90","J01A",0.134375235710293
"91","J01A",0.0312896008656517
"92","J01A",-0.00310469692617107
"93","J01A",0.157700680662612
"94","J01A",0.147854917439863
"95","J01A",0.0793543742643342
"96","J01A",0.121629840314696
"97","J01A",0.209692825505488
"98","J01A",-0.0172767195030038
"99","J01A",-0.00682441019739341
"100","J01A",0.18368609368988
"101","J01A",0.180991409597848
"102","J01A",0.0439153750791277
"103","J01A",0.189486559952503
"104","J01A",0.259812850003112
"105","J01A",0.345668129291148
"106","J01A",0.181771825656427
"107","J01A",0.171118075028437
"108","J01A",0.155405664975562
"109","J01A",0.33422607188413
"110","J01A",0.175132138190911
"111","J01A",0.386049483529285
"112","J01A",0.126595931332096
"113","J01A",0.093845135343954
"114","J01A",0.18506286085237
"115","J01A",0.0717360546241547
"116","J01A",0.186872092489866
"117","J01A",0.025395640603961
"118","J01A",0.059045709560686
"119","J01A",0.108350144296437
"120","J01A",0.257687323991861
"121","J01A",0.298996463138247
"122","J01A",0.250768847240232
"123","J01A",-0.0681149809302397
"124","J01A",0.14922974958
"125","J01A",0.215018596257714
"126","J01A",0.207893985520483
"127","J01A",0.083869790533339
"128","J01A",-0.0697103715294726
"129","J01A",0.0592309870656777
"130","J01A",0.184762225316287
"131","J01A",0.0233834040399051
"132","J01A",0.323870746642674
"133","J01A",0.38912489388989
"134","J01A",0.17928636945347
"135","J01A",0.045137365674838
"136","J01A",0.239535685673455
"137","J01A",0.120123629406579
"138","J01A",-0.0863279056064245
"139","J01A",0.234763974796903
"140","J01A",0.230896797397431
"141","J01A",0.0539213946483904
"142","J01A",0.200082643421156
"143","J01A",0.092590443815064
"144","J01A",0.158762719481505
"145","J01A",0.372749487305591
"146","J01A",0.0517241981539667
"147","J01A",0.125676479540269
"148","J01A",0.1343848147007
"149","J01A",-0.0588761491729947
"150","J01A",0.0986545827411094
"151","J01A",0.189549925594464
"152","J01A",-0.0241544370665733
"153","J01A",0.12296202337875
"154","J01A",0.0971579076836859
"155","J01A",-0.0627658873852915
"156","J01A",0.188631876304685
"157","J01A",0.2861365306252
"158","J01A",0.205558088079624
"159","J01A",0.36900533150059
"160","J01A",0.0410882649195443
"161","J01A",0.124120556648467
"162","J01A",0.129768121748926
"163","J01A",0.26959452875561
"164","J01A",0.0979103065559292
"165","J01A",0.141998394404157
