"region","avertable_burden","lower_bound","upper_bound","variance","total_burden","proportion_avertable","proportion_avertable_lower_bound","proportion_avertable_upper_bound","proportion_avertable_variance","avertable_burden_per_100k","lower_bound_per_100k","upper_bound_per_100k","variance_per_100k"
"Central Europe, Eastern Europe, and Central Asia",162.87655201656,-1100.90414945647,973.822946263657,262226.544370563,428085.525146583,0.000380476662836915,-0.00257169206802659,0.00227483268893571,1.43092069656102e-06,0.0396363575380069,-0.267907381036008,0.236981898247067,0.0155291252349586
"High-income",0,0,0,0,1181609.20344387,0,0,0,0,0,0,0,0
"Latin America and Caribbean",242.612575061442,-1124.48188546545,1254.02482273714,384084.480864246,532496.109325737,0.000455613798509524,-0.00211171850042116,0.00235499339952929,1.35454638541355e-06,0.0381870631730394,-0.176992725073434,0.197382700028204,0.00951552301765625
"North Africa and Middle East",2285.94161976603,706.687607980719,3464.31487663793,500940.106699179,383534.678783851,0.0059601953779369,0.00184256508491371,0.00903259879295116,3.40546582980547e-06,0.364284511921756,0.112616765068899,0.552068453134203,0.0127214597514837
"South Asia",268.913907635848,-4036.82903873597,3587.89445526401,4277642.72176136,1843345.02121846,0.000145883654194099,-0.0021899476181988,0.00194640418042435,1.25890004178415e-06,0.0148111296715954,-0.222338810515317,0.197612576054915,0.0129764037505448
"Southeast Asia, East Asia, and Oceania",4463.50569841752,-980.727286856665,8598.8050461188,6031402.55136876,1569305.18410486,0.00284425600809032,-0.000624943635431931,0.00547937082806722,2.44908295954449e-06,0.192076533521853,-0.0422033061717623,0.370029473979227,0.0111690117220328
"Sub-Saharan Africa",0,0,0,0,1763915.61977896,0,0,0,0,0,0,0,0
