"","x"
"Acinetobacter spp.",0.792548872348357
"E. coli",0.95191044940621
"E. faecalis",0.318244006458096
"Enterococcus spp.",1.63214419249536
"H. influenzae",0.0355047265790389
"K. pneumoniae",1.0731044391257
"P. aeruginosa",0.835014486738312
"S. aureus",0.173449899232365
"S. pneumoniae",1.28038535588952
"S. pyogenes",0.172865136964065
"Salmonella spp.",4.46739651025716
