"drug","avertable_burden","lower_bound","upper_bound"
"J01C",0,0,0
"J01D",0,0,0
"J01G",0,0,0
"J01M",111727.969489028,104076.441371376,120248.541192805
"Other",0,0,0
"J01E",0,0,0
"J01X",0,0,0
"J01F",272.831447804958,51.9138255240996,495.290928200972
"Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0
