"pathogen","avertable_burden","lower_bound","upper_bound"
"Acinetobacter spp.",27374.3773936368,22407.7068594875,33040.9025047136
"E. coli",28421.2743323854,25609.5953545592,31567.6944396701
"E. faecalis",10101.2196931313,8145.36634914661,12239.290361895
"Enterobacter spp.",3479.21015815994,3028.9159984582,3988.22891207697
"Enterococcus spp.",6400.41605164071,4556.20312301935,8050.30079205083
"K. pneumoniae",6146.56906848185,3885.17229970055,8404.80813266758
"P. aeruginosa",9170.19433771856,8284.41438887069,10076.5448584009
"Proteus spp.",1440.77456524726,1260.5324144647,1635.9303447657
"S. agalactiae",3506.92131057056,2139.55300569681,4582.04978788982
"S. aureus",5726.27454513497,4335.19144932555,7092.16651279609
"S. pyogenes",-21.4386557677228,-88.2714895517098,39.5797263244841
"Citrobacter spp.",1103.72411684555,926.026370987218,1334.82069134223
"E. faecium",50.7206194880647,-1381.78670234591,1349.5641918046
"S. pneumoniae",3015.94957331375,2164.30864485193,3821.9247107625
"Salmonella spp.",2740.83534039868,154.082594953061,5179.06898790173
"Serratia spp.",540.813888497948,454.20396710214,635.991220679721
"Shigella spp.",2603.36420536174,1614.44207480426,4150.7444079327
"H. influenzae",0,0,0
"Morganella spp.",199.6003925875,125.026940444112,282.563297709719
