"","Antibiotic","Gradient"
"1","J01A",0.0282705543818497
"2","J01A",-0.0190038765335765
"3","J01A",0.0466813869462694
"4","J01A",0.0139035858310511
"5","J01A",0.0349023374368655
"6","J01A",0.0268842205720488
"7","J01A",-0.020503072002135
"8","J01A",0.0269447262679589
"9","J01A",0.0618523281447652
"10","J01A",0.0429553164426688
"11","J01A",0.0175699228192853
"12","J01A",0.0414687617270648
"13","J01A",0.0473019491418715
"14","J01A",0.0250203184370003
"15","J01A",0.0831786592020258
"16","J01A",0.0288347239065657
"17","J01A",0.0242086331424623
"18","J01A",0.0826467709314212
"19","J01A",0.0196991994517122
"20","J01A",-0.0252439772931811
"21","J01A",-0.0183985572844697
"22","J01A",0.0183678984549861
"23","J01A",0.0504747666970101
"24","J01A",-0.0128025124636715
"25","J01A",-0.0144357684603935
"26","J01A",-0.00544563143029479
"27","J01A",0.0381870167087901
"28","J01A",0.0204389262665795
"29","J01A",-0.0152898076645032
"30","J01A",0.015190761312397
"31","J01A",-0.000559759515149519
"32","J01A",0.0788461550969382
"33","J01A",0.0243290053140897
"34","J01A",-0.0174668498357471
"35","J01A",0.0294232966016801
"36","J01A",0.00867975358623189
"37","J01A",-0.0115027621444828
"38","J01A",0.0583041864704012
"39","J01A",0.0690676998759062
"40","J01A",0.0276283032656637
"41","J01A",0.0782828411234203
"42","J01A",0.0490256181684659
"43","J01A",-0.000906867494438353
"44","J01A",0.0673368534909278
"45","J01A",0.0580404857311638
"46","J01A",0.0263441234615035
"47","J01A",0.0227387774427478
"48","J01A",0.0292098917073609
"49","J01A",0.0254058514985898
"50","J01A",-0.00879254975494797
"51","J01A",0.05461118245127
"52","J01A",0.0320876124624659
"53","J01A",0.0785682438692556
"54","J01A",0.0337582037350629
"55","J01A",0.043368650251984
"56","J01A",0.00727469500145481
"57","J01A",0.0134871057894602
"58","J01A",0.027212050493527
"59","J01A",0.0649716551834393
"60","J01A",0.0252670798563595
"61","J01A",0.00800100992408214
"62","J01A",0.038645534797283
"63","J01A",0.037593077929639
"64","J01A",0.0333773493946815
"65","J01A",-0.0163258248773294
"66","J01A",0.0232689427592027
"67","J01A",0.0249845063419862
"68","J01A",0.0651464077065242
"69","J01A",0.0781542142723381
"70","J01A",0.023396082173354
"71","J01A",0.0247170306896055
"72","J01A",0.0187690351098296
"73","J01A",0.0214094909709566
"74","J01A",-0.0214438335564474
"75","J01A",0.0275431194505863
"76","J01A",0.0669823122767753
"77","J01A",0.0285733425296434
"78","J01A",0.0554811222373322
"79","J01A",0.0741406034593202
"80","J01A",-0.0430658530294318
"81","J01A",0.00253837026834885
"82","J01A",-0.00351986697685878
"83","J01A",-0.00671946088944226
"84","J01A",0.00183603652498715
"85","J01A",-0.00568454921884477
"86","J01A",0.0872365422367057
"87","J01A",0.0581963281559468
"88","J01A",0.00329266025743954
"89","J01A",-0.0207929274787446
"90","J01A",0.027318781305816
"91","J01A",-0.0119407319618691
"92","J01A",0.0368377830449734
"93","J01A",0.0883496059082292
"94","J01A",0.0113835348577186
"95","J01A",0.0637367741554743
