"region","avertable_burden","lower_bound","upper_bound","variance","total_burden","proportion_avertable","proportion_avertable_lower_bound","proportion_avertable_upper_bound","proportion_avertable_variance","avertable_burden_per_100k","lower_bound_per_100k","upper_bound_per_100k","variance_per_100k"
"Central Europe, Eastern Europe, and Central Asia",5973.01632725228,4945.76437274083,7090.22856326642,305989.741360537,428085.525146583,0.013952857493154,0.0115532156128085,0.0165626449547403,1.66972819208343e-06,1.45354630728708,1.20356234552878,1.72542229609111,0.0181207933224543
"High-income",18092.1322011325,15312.1229700479,20834.1393985124,2061251.38176354,1181609.20344387,0.0153114347352762,0.0129587032035802,0.0176320050129858,1.47632926844192e-06,2.28877095215307,1.93708192489593,2.63565247801131,0.032988010242924
"Latin America and Caribbean",5781.86891957479,4929.48055589991,6756.15116320811,224851.673943582,532496.109325737,0.0108580491356002,0.00925730811844196,0.0126877005200338,7.92981850006367e-07,0.910062446821316,0.775897066962612,1.0634138449365,0.0055706007026223
"North Africa and Middle East",8938.62631327658,7649.50878178065,10353.5795748735,954692.577634133,383534.678783851,0.0233059141916972,0.0199447643327494,0.0269951588411865,6.49014304828724e-06,1.42444719306358,1.21901519658991,1.64993219838305,0.0242445814160097
"South Asia",31106.6910897686,26491.5284014241,36259.7959614439,8326126.38894341,1843345.02121846,0.0168751322903224,0.0143714432710557,0.0196706506617389,2.4503591208349e-06,1.71328154588687,1.45908951233409,1.99710213789978,0.0252576441579271
"Southeast Asia, East Asia, and Oceania",24755.2770307976,20340.8818946698,29593.952008054,6122550.02617352,1569305.18410486,0.0157746735826392,0.0129617120370837,0.0188579967158744,2.48609387457605e-06,1.06528547731765,0.875322302039579,1.27350654373185,0.0113377995298201
"Sub-Saharan Africa",17353.1890550305,15123.4040390424,19419.4226539305,1207503.81620387,1763915.61977896,0.00983787935230431,0.00857376842149486,0.0110092696250198,3.88090400025917e-07,1.62659976518976,1.41759104800654,1.82027800358962,0.010609412271973
