"Antibiotic","Pathogen","Response","Lower_CI","Upper_CI","R_squared","Variation_Explained.Consumption","Variation_Explained.PC1","Variation_Explained.PC2","Variation_Explained.PC3","Variation_Explained.GDP","Variation_Explained.Year"
"J01C","E. coli",-0.00079158432079619,-0.0353906938970416,0.0338075252554492,0.538641141683613,4.28320420398087e-06,0.0479006827685633,0.0484829875142455,0.0319112923648811,0.0360162391036515,0.0115746487428944
"J01C","P. aeruginosa",-0.334339049160129,-0.548107793726104,-0.120570304594154,0.669691016718378,0.108417060937824,0.0320148504792481,0.0208852941209824,0.0329359718302751,0.0582282436812753,0.00824705373037038
"J01C","S. aureus",0.00558201786067514,-0.0143222257972536,0.0254862615186038,0.563517687525365,0.000458551835872401,0.0691934915944581,0.113049016129589,0.17751621652394,0.115506041653454,0.121398029216197
"J01D","Acinetobacter spp.",0.0176399025800225,-0.0798548381979191,0.115134643357964,0.721878898715211,0.000439398674719205,0.146811780430466,0.142474225837082,0.209275382000749,8.74649227599056e-05,0.016721359465893
"J01D","Enterobacter spp.",0.606671016264267,0.0298656587423808,1.18347637378615,0.0920617076579602,0.0733426184177629,-2.14828155264968e-14,-8.53483950180589e-15,-5.14865927669916e-14,0,0
"J01D","K. pneumoniae",0.262880293449433,-0.267265219241747,0.793025806140613,0.242087136081098,0.0124274846205212,0.0056525982037931,0.000371410700138214,0.0542634114426134,0.0133768146893947,0.00384527757379113
"J01D","P. aeruginosa",-0.0613985855279072,-0.125684327989801,0.00288715693398688,0.30592378059182,0.00634061192360852,0.0179842431598343,0.0168430078556693,0.00966323602255481,0.0321035510596399,0.1551620188789
"J01G","P. aeruginosa",-0.0197896281411635,-0.161554479333393,0.121975223051066,0.843068129221279,0.000296536041512363,0.0372012376867403,0.0184759323726862,0.0114617829964411,0.0360032466212141,0.123058768271656
"J01M","E. coli",0.271799855918121,0.096364675109171,0.44723503672707,0.065482290399316,0.065482290399316,0,0,0,0,0
"J01M","P. aeruginosa",-0.189648702304231,-0.268531419081089,-0.110765985527373,0.766212438120408,0.12181715147013,0.0211036831636811,0.00505089469064912,0.0233487095073958,0.0288142486469252,0.0182972274888151
