"drug","avertable_burden","lower_bound","upper_bound"
"J01C",12089.3162032596,10463.4639204181,13860.9207843659
"J01D",6933.01405952896,5550.0599401129,8249.43176481682
"J01G",1865.35114062517,1624.21915853268,2124.29959293323
"J01M",15872.7883524588,14683.9537036056,17294.7861546708
"Other",0,0,0
"J01E",510.909232931793,209.702576199888,805.499327637391
"J01X",0,0,0
"J01F",1147.8403731483,621.786652694381,1649.05468332618
"Multi-drug resistance in Salmonella Typhi and Paratyphi",0,0,0
