"","Antibiotic","Gradient"
"1","J01C",-0.26081934996149
"2","J01C",-0.0505965743303414
"3","J01C",-0.103753652052356
"4","J01C",-0.168006821009245
"5","J01C",-0.0580636500532091
"6","J01C",-0.0662388087676114
"7","J01C",0.10108510189167
"8","J01C",-0.144558442216057
"9","J01C",-0.125613726164853
"10","J01C",-0.0184050515950597
"11","J01C",-0.27585106814186
"12","J01C",-0.0371096404281989
"13","J01C",-0.206274631239135
"14","J01C",0.0286630402048589
"15","J01C",-0.0215102826514161
"16","J01C",0.0528520886272495
"17","J01C",-0.170059774137367
"18","J01C",-0.00214654038601775
"19","J01C",-0.0557389473412082
"20","J01C",-0.0163024554808598
"21","J01C",0.028521943134381
"22","J01C",0.0589692541150001
"23","J01C",-0.0708095139611839
"24","J01C",-0.119732333781686
"25","J01C",-0.204335734734779
"26","J01C",0.119064913653755
"27","J01C",-0.0264499355750059
"28","J01C",-0.0602128721148095
"29","J01C",-0.0121493820061437
"30","J01C",0.0169304120274357
"31","J01C",-0.0615394130846114
"32","J01C",0.0349996228010963
"33","J01C",-0.131387607981781
"34","J01C",-0.0355094948579353
"35","J01C",-0.0616781738030949
"36","J01C",-0.0688380190782504
"37","J01C",-0.0118073174353533
"38","J01C",-0.149197774161797
"39","J01C",-0.158902970205259
"40","J01C",-0.215129503865909
"41","J01C",-0.159744380542522
"42","J01C",-0.180719240726908
"43","J01C",-0.138005185996183
"44","J01C",-0.0910746066075633
"45","J01C",-0.123812980664858
"46","J01C",-0.139757416493298
"47","J01C",-0.0244018404633946
"48","J01C",-0.0572588354454807
"49","J01C",-0.198603607304929
"50","J01C",0.0735058272265217
"51","J01C",-0.0258744580678882
"52","J01C",-0.0514894892909214
"53","J01C",-0.0444982456532966
"54","J01C",-0.0288137878184548
"55","J01C",-0.203031328716135
"56","J01C",-0.0806108799091394
"57","J01C",-0.0278488904281098
"58","J01C",0.0266968484022326
"59","J01C",0.1297395209437
"60","J01C",-0.137829706342358
"61","J01C",-0.063155607805502
"62","J01C",-0.206619331824083
"63","J01C",0.0312086978495722
"64","J01C",0.0746656349320688
"65","J01C",0.0368729990775493
"66","J01C",-0.0595489944998103
"67","J01C",-0.133809428924852
"68","J01C",-0.117017645647377
"69","J01C",-0.0635040703621375
"70","J01C",-0.00802939113326468
"71","J01C",-0.051449727987797
"72","J01C",-0.215774426423162
"73","J01C",-0.0638486456636531
"74","J01C",-0.107775980845551
"75","J01C",-0.0308834906290164
"76","J01C",-0.131974927283877
"77","J01C",-0.182849195997843
"78","J01C",-0.0252750549114181
"79","J01C",-0.1506129800524
"80","J01C",-0.14258860665074
"81","J01C",-0.065683790007564
"82","J01C",-0.195795841693296
"83","J01C",-0.139322496922146
"84","J01C",-0.0849346829904084
"85","J01C",0.0326769938369045
"86","J01C",0.016356957534859
"87","J01C",-0.0967482181655037
"88","J01C",-0.065316027910057
"89","J01C",-0.0818662607213669
"90","J01C",-0.0828828646293399
"91","J01C",-0.0308886029371322
"92","J01C",-0.135438577879939
