"Antibiotic","Pathogen","Response","Lower_CI","Upper_CI","R_squared","White_test_p_value","RMSE","AIC","BIC","Model_Singular","Bootstrap_Singular_Proportion","Variation_Explained.Consumption","Variation_Explained.PC1","Variation_Explained.PC2","Variation_Explained.PC3","Variation_Explained.GDP","Variation_Explained.Year","VIF.Consumption","VIF.PC1","VIF.PC2","VIF.PC3","VIF.GDP","VIF.Year"
"J01A","Acinetobacter spp.",0.0993584723210911,-0.24186848258517,0.638354740806031,0.278328506770169,4.1232418798034e-08,1.54591152672359,2016.90475158303,2050.73283961176,FALSE,0,0.0108757467603159,0.135650745114201,0.186896396894908,0.571428758512786,0.016513119991816,0.0786352327259734,2.0361450437017,18.0993334650874,17.308190329325,1.62001556992179,2.80459594212955,1.29904839830333
"J01A","E. coli",-0.10871489162889,-0.225160405320597,0.0932126225371371,0.420242826652753,2.10736778181024e-05,1.15358500893074,2478.86008605885,2515.70246942643,FALSE,0,0.00892007118227888,5.70414513703662e-05,0.000105412200201621,0.000198262988107148,0.00104659315721053,0.989672619020831,1.98349639372492,9.1109008828534,10.5131598624921,1.39019202817161,2.96727021818519,1.15890925766955
"J01A","E. faecalis",-0.0526990543490833,-0.219618989672142,0.137858239133185,0.249156787960028,3.13036421948515e-08,1.48856531647609,2147.29233154835,2182.15506968041,FALSE,0,0.00317579809288086,0.00137784886738909,0.00488235780831348,0.00118186760821108,0.0602391506004654,0.92914297702274,2.05709048337235,10.0196798516356,11.7737837410032,1.4946056606587,3.09999729383878,1.18533535203839
"J01A","E. faecium",0.159572410009473,-0.083362806498526,0.383472542312022,0.133694180091822,7.85177223224292e-18,1.64959137492316,2124.60613307478,2159.04172349415,FALSE,0,0.0541120819134495,0.0018799138332891,0.00912010980593382,0.00869315415815787,0.137638998108217,0.788555742180952,1.97005181593535,9.37669121150692,10.5384939139211,1.27076809332716,2.69695016294429,1.19220258694149
"J01A","Enterococcus spp.",0.0648486893432849,-0.33394531008714,0.359352321822336,0.131740620069527,2.92301102555234e-11,1.66186069421215,1158.16385774825,1187.21355200282,FALSE,0,0.00758198885143799,0.0162620244249256,0.0219253871027625,0.0143891360882789,0.102263297041951,0.837578166490644,1.82159406534368,23.7572421166464,28.1674800531547,1.56506248327113,3.44957474307609,1.22820289342981
"J01A","H. influenzae",0.021121882641648,-0.047725042972046,0.0685155362995125,0.0395283924485601,0.886389277028731,0.529322419509262,994.794467060603,1029.48907290977,FALSE,0,0.0316924600422454,0.00014977953081224,0.0103506177835623,0.0988564738602598,0.0122255794247284,0.846725089358392,1.91627469592211,14.2936805321512,15.9664729927358,1.32047033491381,2.45250771594344,1.24443250619977
"J01A","K. pneumoniae",-0.0927351240477417,-0.217522173917994,0.0879201149911426,0.3745389788016,0.0275533589180427,1.19313096146587,2574.04013753145,2610.84997848128,FALSE,0,0.00655563453189615,0.000349816363205065,0.00230298607932066,0.000161773569898694,0.00382954905961857,0.986800240396061,1.98089676718252,8.75075695689855,9.98675533688755,1.43133736643821,2.93672014998637,1.16669268454007
"J01A","Morganella spp.",0.0565563874440498,-0.231154194943592,0.406689962728724,0.0485827418011488,0.000341229075019952,1.10967660386406,804.488508998474,832.660196341372,FALSE,0,0.0226577961310621,0.12346500594861,0.098071085901121,0.149739704394333,0.0655817449248943,0.54048466269998,1.76689349466676,10.0955755825548,11.3520524066302,1.13354015869395,2.50153450966254,1.02890697376584
"J01A","S. agalactiae",0.0488957239635316,-0.104725274349424,0.247991055890172,0.251533552161369,3.0731362596795e-17,1.6091162328379,2059.16485665385,2094.08286270866,FALSE,0,0.00409833209689846,0.0129845105389767,0.0376286497543148,0.0248137065281315,0.00552445185433179,0.914950349227347,1.9325257781531,8.99721484933188,10.1442091810075,1.54773056666208,2.66002588780246,1.18351374514746
"J01A","S. aureus",0.0866025659196848,-0.208859824815257,0.354312318141407,0.0665683963559261,4.83048723523532e-21,0.815206391589798,1890.01321495198,1925.39919066025,FALSE,0,0.105889095636816,0.0946069611025163,0.00125690244474931,0.00113761588549121,0.778869327151427,0.0182400977789999,1.97757518672216,8.10153836047963,9.27750477049211,1.28180676752697,2.80393663134622,1.13528292720805
"J01A","S. pyogenes",-0.0170459539089805,-0.144085551796085,0.148039467796604,0.201555480764646,0.00540149127444995,0.476686495903447,377.813697692716,406.329860951298,FALSE,0,0.00546818880144671,0.257269943634997,0.0708229539952456,0.0115401870143902,0.0382909624166662,0.616607764137254,1.6239708605592,9.84926022982337,11.9537886317293,1.12370484312358,2.40788758956352,1.0188468253014
"J01C","Acinetobacter spp.",0.324648208469041,0.0199913882645709,0.610325645322089,0.308528719348448,2.1864824609479e-07,1.23350236912751,1714.65505943552,1749.93645849125,FALSE,0,0.188004519804887,0.022603328323146,0.0485804099102734,0.00900164513555166,0.495744338962912,0.23606575786323,1.62632506841979,10.2031144989411,11.06174239821,1.27860815117955,1.94828307788782,1.178101956922
"J01C","E. coli",0.0213483853745728,-0.0395607243237463,0.0911593344915112,0.407217978201599,8.37606408651447e-06,0.248439806549529,-360.524206780164,-325.190348520065,FALSE,0,0.0210308365879394,0.0856141205165036,0.125382271643902,0.0269266715363924,0.571404303203459,0.169641796511803,1.48163644393053,8.52257114994748,9.7147909661666,1.36538670105071,2.02727919075973,1.13166879395557
"J01C","E. faecalis",-0.0283998107126374,-0.283874469069023,0.217570395361578,0.0511120262410395,0.00149136808084916,0.877136873244667,1843.1303947662,1878.73415814335,FALSE,0,0.0113092686990559,0.0207612130979472,0.0171874334589146,0.00825234628348836,0.165916474159297,0.776573264301297,1.55788367763519,10.6609413863927,12.2811975917926,1.49563478210287,1.93159489185468,1.15897401849036
"J01C","E. faecium",0.0316588304786911,-0.0211892017709858,0.109718583154168,0.0293164853065226,0.519053371022231,0.676312044537699,648.112090930427,683.260816962032,FALSE,0,0.148886087079689,0.0198028122869989,0.0198883793963874,0.00894161219535317,0.22541183323949,0.577069275802081,1.33815948275962,9.88154889198103,10.9054487628958,1.25680020366379,1.76883045697137,1.15511070628932
"J01C","Enterococcus spp.",-0.190792259289334,-0.798769020634112,0.647402432470207,0.107010389075155,0.012901661820168,2.19005544896607,1263.10345597727,1292.35139046383,FALSE,0,0.0205352889133879,0.0172282285788812,0.0457386384110581,0.0501896851459572,0.00582807113368662,0.860480087817029,2.3431188859656,24.3372610917559,27.7541577178166,1.52328323802071,2.65850380957274,1.22503715710205
"J01C","H. influenzae",0.205843618364308,-0.142204640979067,0.475918085129282,0.0977719424722411,0.00255473769894739,1.42490680693965,2200.55822897575,2236.61645067484,FALSE,0,0.177325062989872,0.120559018679613,0.0209291495669451,0.0650660566184268,0.486671868463164,0.129448843681979,1.27730100885277,13.7645962933136,15.3979220044566,1.29816575318019,1.72214538210988,1.21181144288088
"J01C","K. pneumoniae",0.0138158367779975,-0.153352442540157,0.277535401697227,0.310232263097652,1.89659526502841e-41,0.717797467416173,2184.63755949486,2220.83779675761,FALSE,0,0.000224142926621657,0.00338211739092866,0.00443985096899936,0.0168283974890891,0.30236814980103,0.672757341423331,1.40727413835765,5.79113188973685,6.11834085090382,1.31419492418767,1.71253586508484,1.25318335243071
"J01C","Morganella spp.",0.000225333965337517,-0.000755103396100814,0.000814847504790065,0.0120883470502142,0.801278558911191,0.00775374754795717,-1924.26333343507,-1896.09164609218,FALSE,0,0.048429071215335,0.366425905023822,0.355629896445577,0.168141008552663,0.00118211733439469,0.0601920014282085,1.32091421542914,10.1719043680066,11.1843833362791,1.11936195782156,1.92424873965932,1.02749415572506
